mainlocation,sublocation,neighborhood,frontage,purpose,streetwidth,size,Pricepm
احد رفيده,,حي العزيزية,3 شوارع,سكني,12.0,720,305
الرياض,شمال الرياض,حي المرسلات,شمال غربي,سكني,15.0,1560,2500
المدينة المنورة,,حي شظاة,جنوب,سكني,25.0,625,1800
الرياض,جنوب الرياض,حي السلي,4 شوارع,تجاري,100.0,820205,450
الرياض,شمال الرياض,حي بنبان,3 شوارع,تجاري,60.0,4500,2950
المدينة المنورة,,حي المطار,3 شوارع,سكني أو تجاري,30.0,9700,516
الرياض,شمال الرياض,حي حطين,شرق,سكني,15.0,675,4500
الرياض,غرب الرياض,حي طويق,3 شوارع,تجاري,,4500,1400
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,25.0,450,4200
الدمام,,حي الخالدية الشمالية,شمال,سكني أو تجاري,20.0,461,2603
جدة,شمال جدة,حي الفروسية,شمال,,30.0,380,1500
الرياض,غرب الرياض,حي المهدية,جنوب,سكني,20.0,900,1510
الرياض,جنوب الرياض,حي عريض,غرب,سكني,15.0,500,720
الهفوف,,حي جنوب الهفوف,غرب,سكني,20.0,3000,430
الرياض,شمال الرياض,حي المحمدية,جنوب شرقي,سكني,15.0,729,4801
الرياض,شمال الرياض,حي المغرزات,غرب,سكني,15.0,600,3250
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,20.0,667,4200
الرياض,شرق الرياض,حي الخليج,غرب,سكني,15.0,390,2300
الرياض,شمال الرياض,حي بنبان,شرق,سكني أو تجاري,30.0,830,963
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15.0,400,4300
الدمام,,حي البادية,شرق,سكني,13.0,325,1846
الدمام,,حي السيف,3 شوارع,,20.0,1484,1500
الرياض,غرب الرياض,حي المهدية,شمال,,25.0,450,1666
الرياض,شرق الرياض,حي القادسية,شمال,سكني,20.0,325,1700
الرياض,غرب الرياض,حي الخزامى,جنوب,سكني أو تجاري,30.0,500,4200
الرياض,جنوب الرياض,حي بدر,شرق,سكني,18.0,434,1100
الرياض,غرب الرياض,حي المهدية,شمال,سكني,20.0,375,1400
الدرعية,,حي الدرعية الجديدة,شرق,سكني,15.0,325,1800
الرياض,شرق الرياض,حي قرطبة,غرب,تجاري,30.0,858,3000
الرياض,شمال الرياض,حي الفلاح,شمال,سكني,20.0,600,3750
الرياض,شمال الرياض,حي النرجس,جنوب,تجاري,36.0,900,3950
الخبر,,حي الكوثر,شمال,سكني أو تجاري,40.0,875,857
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,20.0,1070,3200
الخبر,,حي الصواري,شمال شرقي,سكني,15.0,700,1057
الرياض,غرب الرياض,حي طويق,شرق,,15.0,400,1625
الرياض,شمال الرياض,حي الملقا,شمال,سكني,18.0,760,4100
الرياض,شمال الرياض,حي الملك عبدالله,3 شوارع,سكني,30.0,3250,4500
الرياض,شرق الرياض,حي القادسية,شرق,سكني,15.0,1100,2000
الخبر,,حي الشراع,شمال,سكني,30.0,875,971
الرياض,غرب الرياض,حي عرقة,شرق,سكني,15.0,375,3500
الرياض,غرب الرياض,حي عرقة,غرب,سكني,15.0,405,3600
الرياض,شمال الرياض,حي الملقا,شمال,سكني,20.0,1677,3700
الرياض,شرق الرياض,حي الرمال,جنوب,سكني,15.0,448,1650
الرياض,شرق الرياض,حي المونسية,شمال شرقي,سكني أو تجاري,30.0,1400,2500
الرياض,شمال الرياض,حي بنبان,شمال,سكني,20.0,405,778
الرياض,شمال الرياض,حي الملقا,شمال,سكني,20.0,1575,3500
الرياض,شمال الرياض,حي الملقا,شرق,سكني,60.0,2002,4000
الرياض,شمال الرياض,حي حطين,غرب,سكني,20.0,875,4100
الرياض,شمال الرياض,حي النفل,شمال,سكني أو تجاري,36.0,1500,4500
الرياض,شرق الرياض,حي المعيزلة,شرق,,12.0,351,1650
الرياض,شمال الرياض,حي النرجس,غرب,سكني,20.0,1500,3400
الرياض,شرق الرياض,حي الشهداء,شمال شرقي,تجاري,36.0,900,4500
الخبر,,حي العقيق,جنوب,تجاري,100.0,625,4160
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,25.0,2050,4100
الرياض,شمال الرياض,حي الملقا,غرب,سكني,25.0,2487,4000
الرياض,غرب الرياض,حي ظهرة البديعة,جنوب,سكني,12.0,312,1300
الرياض,شمال الرياض,حي الربيع,شمال شرقي,سكني,20.0,1140,3700
الرياض,شمال الرياض,حي الفلاح,جنوب,سكني,15.0,560,3200
الرياض,غرب الرياض,حي المهدية,شمال غربي,,20.0,900,1000
الرياض,غرب الرياض,حي السفارات,3 شوارع,سكني,20.0,5100,4800
الرياض,غرب الرياض,حي عرقة,شمال,سكني,15.0,2300,3700
الخبر,,حي الرجاء,شرق,سكني,20.0,600,850
الرياض,شمال الرياض,حي الواحة,شمال,سكني,15.0,864,3800
الرياض,شمال الرياض,حي النفل,جنوب شرقي,سكني,12.0,720,3200
الدمام,,حي السيف,شرق,سكني,20.0,875,1350
الرياض,شمال الرياض,حي المصيف,شرق,سكني,15.0,780,2400
الخبر,,حي البستان,شمال,تجاري,25.0,1980,4150
الرياض,شمال الرياض,حي الرحمانية,3 شوارع,سكني,20.0,2100,4300
الرياض,شمال الرياض,حي الورود,جنوب,سكني,12.0,475,2950
الرياض,شمال الرياض,حي الملقا,شمال غربي,,60.0,5000,4500
الطائف,,حي الوكف,شمال شرقي,,15.0,365,1506
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,20.0,900,3800
الرياض,شمال الرياض,حي النرجس,شمال,تجاري,80.0,900,7300
مكة المكرمة,,حي الراشدية,جنوب غربي,سكني,20.0,10000,700
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,15.0,540,2600
الرياض,شمال الرياض,حي الصحافة,شمال شرقي,سكني,15.0,806,3200
الرياض,شرق الرياض,حي اليرموك,شرق,تجاري,30.0,900,2650
الرياض,شمال الرياض,حي النرجس,شمال,سكني,15.0,2175,3000
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,16.0,540,3600
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,15.0,540,3500
بريدة,,حي الريان,غرب,,30.0,1175,834
الرياض,شمال الرياض,حي الرحمانية,جنوب غربي,سكني,10.0,1650,4000
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,تجاري,30.0,900,3000
الرياض,شمال الرياض,حي حطين,3 شوارع,تجاري,100.0,13025,7500
جدة,شمال جدة,حي الشراع,شمال,سكني,16.0,400,2000
المدينة المنورة,,حي السكب,4 شوارع,,100.0,790000,200
الرياض,شمال الرياض,حي النرجس,جنوب غربي,,20.0,562,2800
الرياض,شمال الرياض,حي الرحمانية,شرق,سكني,15.0,550,3100
الزلفي,,حي حطين,غرب,سكني,30.0,675,192
عنيزة,,حي الحزم,غرب,,60.0,24784,23
الرياض,شمال الرياض,حي حطين,جنوب غربي,سكني,15.0,902,5000
الرياض,شرق الرياض,حي اليرموك,شرق,تجاري,30.0,900,2300
سكاكا,,حي مخطط كريم الدرزي,شمال,سكني,20.0,600,250
مكة المكرمة,,حي الملك فهد,غرب,تجاري,50.0,864,925
الخبر,,حي الحمرا,شمال,سكني,16.0,600,1700
بيش,,حي بيش,شمال,سكني أو تجاري,20.0,49549,220
الرياض,شمال الرياض,حي بنبان,جنوب,,15.0,750,700
ابها,,حي القريقر,شرق,,15.0,600,916
الرس,,حي الحزم,شمال,سكني,15.0,547,548
الدرعية,,حي الدرعية الجديدة,شمال غربي,سكني أو تجاري,20.0,11716,257
المدينة المنورة,,حي الدفاع,جنوب,سكني,20.0,1312,1000
الزلفي,,حي النهضة,3 شوارع,سكني,20.0,625,144
بريدة,,حي الورش الجنوبية,شمال,تجاري,20.0,750,333
الرياض,غرب الرياض,حي طويق,شمال غربي,سكني,15.0,375,1500
الرياض,شرق الرياض,حي الروابي,شرق,سكني,15.0,471,2600
الرياض,شرق الرياض,حي النظيم,شرق,تجاري,40.0,764,1400
جدة,شمال جدة,حي الزمرد,غرب,سكني,16.0,625,432
الخبر,,حي البحر,شمال غربي,سكني,25.0,1409,1550
الدمام,,حي احد,شمال,تجاري,40.0,900,4000
الرياض,شمال الرياض,حي المروج,غرب,سكني,20.0,510,3000
الرياض,غرب الرياض,حي المهدية,جنوب,,25.0,465,2000
الرياض,شرق الرياض,حي قرطبة,جنوب,تجاري,80.0,2003,4100
الرياض,غرب الرياض,حي المهدية,شمال,سكني,15.0,442,1810
الهفوف,,حي العزيزية,شمال شرقي,سكني,15.0,800,875
الرياض,شمال الرياض,حي العقيق,غرب,تجاري,30.0,900,4444
الخبر,,حي الكوثر,غرب,,30.0,864,868
الرياض,شرق الرياض,حي الحمراء,شمال,سكني,25.0,1128,3450
الرياض,شرق الرياض,حي الروضة,جنوب,سكني,10.0,412,2400
الرياض,شمال الرياض,حي العقيق,جنوب,سكني أو تجاري,30.0,1000,3400
الرياض,شمال الرياض,حي النفل,جنوب شرقي,تجاري,36.0,2444,2350
الرياض,شرق الرياض,حي القدس,غرب,تجاري,36.0,969,3500
الخبر,,حي التحلية,شمال غربي,سكني,20.0,586,1450
الرياض,شمال الرياض,حي النخيل,غرب,سكني,12.0,552,4500
الرياض,شرق الرياض,حي الرمال,جنوب,سكني,15.0,690,1750
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15.0,450,3100
جدة,شمال جدة,حي الزمرد,شمال,,20.0,900,1000
الدرعية,,حي الدرعية الجديدة,غرب,سكني,22.0,702,1300
الرياض,شرق الرياض,حي النهضة,شمال غربي,سكني,16.0,600,2500
الرياض,شرق الرياض,حي القادسية,جنوب شرقي,سكني,20.0,665,2200
الرياض,شمال الرياض,حي العليا,شمال,سكني,10.0,420,3100
الرياض,غرب الرياض,حي ظهرة لبن,جنوب,سكني,20.0,400,1875
الرياض,شرق الرياض,حي غرناطة,شمال,تجاري,30.0,1050,2800
الرياض,غرب الرياض,حي الخزامى,جنوب,سكني أو تجاري,30.0,1620,3700
الرياض,شرق الرياض,حي اليرموك,شرق,سكني,15.0,638,2500
الرياض,شمال الرياض,حي المروج,شمال,سكني أو تجاري,30.0,575,4700
الخبر,,حي الامواج,شرق,سكني,30.0,2025,642
الرياض,شمال الرياض,حي الملقا,شمال,سكني,15.0,446,4100
الرياض,شمال الرياض,حي القيروان,شمال شرقي,سكني,20.0,1050,3500
الرياض,شمال الرياض,حي الملقا,غرب,سكني,18.0,420,4000
الرياض,شمال الرياض,حي الياسمين,غرب,سكني,15.0,350,3200
الرياض,شمال الرياض,حي النرجس,4 شوارع,تجاري,30.0,4500,3500
الرياض,شمال الرياض,حي النرجس,3 شوارع,تجاري,60.0,4837,4300
الرياض,غرب الرياض,حي ظهرة البديعة,جنوب شرقي,سكني,12.0,600,1350
الرياض,شمال الرياض,حي بنبان,4 شوارع,سكني أو تجاري,80.0,1500012,175
الرياض,جنوب الرياض,حي بدر,جنوب,سكني,30.0,882,1000
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15.0,1500,3350
الرياض,شمال الرياض,حي حطين,شمال شرقي,سكني,20.0,1200,3700
الرياض,غرب الرياض,حي المهدية,غرب,,15.0,450,1555
الرياض,غرب الرياض,حي ضاحية نمار,جنوب,سكني,20.0,2000,105
الرياض,شرق الرياض,حي المونسية,شرق,سكني,20.0,750,2550
الخبر,,حي العقيق,شرق,سكني,20.0,744,510
الخبر,,حي الكوثر,جنوب,,20.0,437,869
الخبر,,حي الرجاء,شرق,سكني,15.0,726,923
جدة,شمال جدة,حي الياقوت,جنوب شرقي,سكني,5.0,645,2170
بريدة,,حي الرحاب,جنوب,سكني,20.0,1000,290
الرياض,غرب الرياض,حي المهدية,غرب,,15.0,418,1435
الرياض,شمال الرياض,حي الملقا,شمال,سكني,18.0,446,4000
الخبر,,حي العقيق,شرق,سكني,16.0,715,909
الرياض,شرق الرياض,حي اليرموك,شمال غربي,سكني,15.0,687,2600
الرياض,شمال الرياض,حي الياسمين,جنوب غربي,سكني,15.0,1380,3500
الرياض,شمال الرياض,حي حطين,غرب,سكني,25.0,1320,4500
الرياض,شرق الرياض,حي القادسية,شرق,سكني,20.0,560,2400
الرياض,شمال الرياض,حي النرجس,شمال غربي,سكني,18.0,494,3450
الرياض,شمال الرياض,حي حطين,3 شوارع,سكني,60.0,3185,3700
الرياض,شمال الرياض,حي الملقا,شرق,سكني,15.0,525,4500
الرياض,شمال الرياض,حي النخيل,3 شوارع,سكني,20.0,1614,4000
الرياض,شمال الرياض,حي الورود,غرب,سكني,20.0,910,2900
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,18.0,744,4200
الرس,,حي الروضة,3 شوارع,سكني أو تجاري,30.0,431,754
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,18.0,5376,4500
الخبر,,حي الصواري,جنوب,سكني,15.0,556,1200
الرياض,شمال الرياض,حي المصيف,شرق,سكني,12.0,780,2400
بريدة,,حي الرحاب,شرق,سكني,15.0,1018,492
الرياض,غرب الرياض,حي ظهرة لبن,غرب,,15.0,450,1711
الخبر,,حي الصواري,غرب,سكني,30.0,500,1100
الخبر,,حي اللؤلؤ,جنوب,سكني,20.0,600,933
